"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"404",404,0,18130,8992.6,9451
"405",405,0,17382,7578.2,6591
"406",406,0,18130,2917.8,46
"407",407,6,18130,12563.4,16600
"408",408,0,18130,5526.8,303
"409",409,0,18130,6569.4,1217
"410",410,0,8956,908.6,0
"411",411,0,17382,3700.6,7
"412",412,0,11276,2766.2,368
"413",413,0,18130,4006.2,3
"414",414,0,12834,3789.2,743
"415",415,0,14360,3876.2,951
"416",416,0,10068,1673.6,0
"417",417,0,14022,3980.2,2030
"418",418,0,8732,3021,2028
"419",419,0,11590,1682.4,0
"420",420,0,13438,3297.4,51
"421",421,0,14956,3532,2095
"422",422,0,14622,6040.6,6611
"423",423,0,12938,4682.6,2495
"424",424,0,12156,2840.4,1556
"425",425,0,10798,2004.4,34
"426",426,0,8926,2030.6,21
"427",427,0,7636,2744.8,1164
"428",428,0,10874,2503.8,0
"429",429,0,10192,2268.8,9
"430",430,0,8352,1832,0
"431",431,0,13782,4672.2,3068
"432",432,0,12530,3091,305
"433",433,0,12718,2659.8,5
"434",434,0,8016,1741,0
"435",435,0,12932,3617.6,687
"436",436,0,10040,3075.2,1070
"437",437,0,11510,3155.6,421
"438",438,0,13232,4727.2,3561
"439",439,0,9370,2220.8,469
"440",440,0,10400,2241.6,0
"441",441,0,6800,1646.8,339
"442",442,0,10776,5862.4,6800
"443",443,0,10400,4306.6,3906
"444",444,0,10400,3953.8,1691
"445",445,0,14558,5225.6,3854
"446",446,0,10400,4990,5447
"447",447,0,10068,2618.2,1115
"448",448,0,10400,3033,536
"449",449,0,10400,2617.8,52
"450",450,0,10400,2623.2,300
"451",451,0,10400,1500.6,0
"452",452,0,10400,4496,2771
"453",453,0,10400,2066.6,415
"454",454,0,10400,3989.8,708
"455",455,0,9602,3203,1014
"456",456,848,10400,6351,6800
"457",457,0,12126,4194,1107
"458",458,0,10400,4773.2,3400
"459",459,0,10400,5114.6,4355
"460",460,0,10400,3901.6,1399
"461",461,0,6800,1640,19
"462",462,0,6800,2724.4,22
"463",463,0,14336,6463.6,6800
"464",464,0,10400,2221.6,0
"465",465,0,10400,3384.6,1542
"466",466,0,7532,3008.4,2142
"467",467,0,16600,4889.6,1029
"468",468,0,17382,4580.8,413
"469",469,0,18130,2914.4,0
"470",470,0,18130,5613,336
"471",471,0,18130,5495.2,0
"472",472,0,18130,8058,8600
"473",473,0,18130,8757,9429
"474",474,0,18130,6723.8,3226
"475",475,0,18130,7908.6,6339
"476",476,0,16600,4005.2,0
"477",477,0,8816,1927,939
"478",478,0,12832,3570,1807
"479",479,0,16600,7799.6,9729
"480",480,0,18130,6995.2,3451
"481",481,0,18130,7522.8,5193
"482",482,0,18130,6871.2,0
"483",483,0,18130,10636.2,16991
"484",484,0,16600,8459.2,7840
"485",485,0,17382,5746.8,4
"486",486,0,18130,8047.4,5507
"487",487,0,18130,6416.6,38
"488",488,0,17382,7114.6,4644
"489",489,0,17382,9694.8,12267
"490",490,0,18130,8265.8,7018
"491",491,0,18130,7402.2,2281
"492",492,0,18130,10556.8,12605
"493",493,0,18130,7104.8,364
"494",494,0,18130,7646.2,8172
"495",495,0,18130,10627.2,13500
"496",496,0,18130,12687.6,16600
"497",497,0,18130,6306.2,480
"498",498,0,17382,6368.8,2429
"499",499,0,18130,6947.4,5935
"500",500,0,11062,2388.4,17
