"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"399",399,1208,9008,4407.6,3481
"400",400,1222,9022,4979.2,4959
"401",401,742,8616,3703,2654
"402",402,1436,8806,4744.2,4850
"403",403,716,8722,4287,5319
"404",404,558,13128,4333.6,2112
"405",405,474,12984,5941.6,5033
"406",406,528,12844,3166.8,2050
"407",407,1132,8912,4822.6,5452
"408",408,1520,7844,4666.4,4499
"409",409,910,10034,4314.6,3890
"410",410,1352,12152,5468.2,5734
"411",411,694,6286,3533,3945
"412",412,778,10730,4302.4,4305
"413",413,1432,9200,4497.2,4112
"414",414,1144,7212,3390.2,2333
"415",415,584,8906,2786,1661
"416",416,966,5724,3575.8,3936
"417",417,598,12284,4139,3859
"418",418,750,5424,2954.8,2771
"419",419,2210,8720,4448.2,4072
"420",420,676,9102,4080,4234
"421",421,1006,7644,3560.4,2834
"422",422,548,13404,5367.2,5108
"423",423,612,5220,2444,2230
"424",424,828,8620,4032.8,3998
"425",425,1298,9392,4723.6,5061
"426",426,848,9392,5239.4,5529
"427",427,2144,8624,5296.6,5642
"428",428,478,13124,3686,2327
"429",429,954,8716,3576.2,2725
"430",430,660,5852,3820.4,5297
"431",431,576,5850,2386.2,1883
"432",432,718,12704,4067.4,2552
"433",433,472,12844,3796.8,2114
"434",434,676,13264,4359.2,1813
"435",435,612,11862,3705.4,1947
"436",436,758,13124,4305,1723
"437",437,1286,12564,4956.2,2317
"438",438,942,12706,4646.4,3471
"439",439,526,13264,5573.8,4213
"440",440,482,10444,3330,2407
"441",441,524,9200,2800,1828
"442",442,570,7076,2270.6,1345
"443",443,1456,13404,4961.6,4337
"444",444,504,8518,3149,2434
"445",445,462,7728,2557.4,1816
"446",446,508,4422,1611.4,1281
"447",447,718,13124,2896.6,1034
"448",448,506,3016,1645.6,1723
"449",449,916,8240,3165.4,1713
"450",450,622,7350,3000,2170
"451",451,504,6036,2814.8,1910
"452",452,1126,6902,3825.8,3806
"453",453,454,6812,2443,1639
"454",454,1250,8144,4224.2,3158
"455",455,1534,7438,4188.8,3891
"456",456,1276,5964,2872.8,2426
"457",457,546,9104,3842.2,3504
"458",458,2122,8624,5340.6,5023
"459",459,936,7472,3231.6,2295
"460",460,646,6006,2481.4,2338
"461",461,550,8912,3545.2,2227
"462",462,446,12704,4776.8,2096
"463",463,1404,9008,5901.6,6645
"464",464,1084,8336,3191.8,1999
"465",465,662,8240,3472,2699
"466",466,1344,8912,4637.6,5167
"467",467,598,7952,3027.4,2355
"468",468,608,12144,5247.2,4844
"469",469,600,8522,3846,4226
"470",470,522,9200,4325.8,4141
"471",471,490,11704,3658.4,2087
"472",472,604,6796,3087,2167
"473",473,1222,8816,4842.2,5400
"474",474,2176,6896,4707.6,5092
"475",475,426,6030,2964.2,2413
"476",476,818,8836,2929.2,2251
"477",477,874,8596,3445.4,2354
"478",478,944,12704,3709.2,2332
"479",479,1082,12144,5459.4,5690
"480",480,492,9200,5145,5457
"481",481,660,8624,3663.4,3567
"482",482,1574,8528,4396.6,4299
"483",483,510,11724,5613.2,5316
"484",484,1424,13264,5474.8,4823
"485",485,604,5908,3554.6,4156
"486",486,548,7974,3020.2,1954
"487",487,706,13404,4682.4,4604
"488",488,1354,10324,4005.6,3120
"489",489,656,9296,4831.4,4553
"490",490,646,12008,4687.6,4792
"491",491,648,12572,3916.2,3213
"492",492,1224,8086,3884.6,3781
"493",493,912,8816,4308.4,4501
"494",494,522,8718,4122.2,3583
"495",495,828,8032,3942.2,4207
"496",496,1004,11164,5176.4,5157
"497",497,1310,12704,5591,4397
"498",498,1124,13264,3900.8,2112
"499",499,604,12564,4478.6,3208
"500",500,890,3598,2134.2,1732
