"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"11",0,0,0,0,0,0.594337010701475,0,0,0,0.213493073703564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76425615137423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74067874635129,0,0
"12",0,0,0,0,0,-1.53208612525967,-0.621326290904299,0,0.987839970737696,0,-0.943050983165832,0,-1.7659692672468,0,0,0,-0.755596240394209,0,0,0,0,0,0,0,0,-1.39301912207156,0,-1.33157250681768,0,0,0,0.976556248324366,0,0,0,0,0,1.28999630719619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72482916992158,0
"13",0,0,0,0,0,0,0,0,1.1383392234571,0,0.138333006761968,-0.895265462723712,0,0,0,1.04894559760952,0,0,0,0.369315673646174,0,0,0,0,0,0,0,0,0,1.12670779412547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421635119489541,0,0,-0.552974291097577
"14",0,0,0,0,0,0,0.196381036444249,0,0,0,0,1.72410135398363,0,0,0,0,0,0,0,0,0,0,-0.30194925384498,0,0,0,0,-0.768634027229677,0,-0.0168052919601138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23605822329444,0,0,0,0.190659563260649,0,0,0,0,0,-1.2924020467326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21746331916729,0,1.61306115384851
"17",0,0,0,0,0,0,0,0,0,-0.172381770797074,0,1.24460975254053,0,0,0,0,0,1.06465397368332,0,0,0,0,0,0,0,0,0,-0.274838452165842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808017652481794,0
"18",0,0,0,0,0,-1.49974448147794,0,0,0,1.37044833291714,0,0,0,0,0,0,0,0,0,-0.917555000633001,-1.21619224268943,0,0,0,0,0,0,0,0,1.95039591046148,0,0,0,0,0,0,0,-1.6763289636001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462127358307192,0.2029710853364,0.839438647963107
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0.515541124255641,-1.69598499698025,0,1.57106126145572,0,-1.48579503030926,0,0,0,0,0,0,0,0,0,0,0,0,1.05261382181723,0,0,0,0,-1.60080039550207,0,0,0,0,0,0,0,0,0,0,0,-0.323161517269909,0,0,0,0,0,0,0,0,0,0.229822595862941,0,1.02456319159329,-0.822478369809687
